Close,High,Low,Open,Volume,SMA_10,SMA_30,EMA_12,RSI_14,BB_Width,Volatility,Target,Pred,Strategy_Return,BuyHold_Return,Cum_Strategy,Cum_BuyHold
217.06365966796875,219.01742800864545,214.32838100980746,218.6266803029379,28481746,230.75958251953125,229.97156372070313,227.23697396437,42.2001812748225,38.17393700690087,0.012883222472383493,1,1,0.003600369590236685,0.003600369590236685,1.0036003695902367,1.0036003695902367
217.8451690673828,223.02265812957037,216.86828490116136,222.72958989849005,31816534,227.78985443115235,229.00444844563802,225.79208090329504,42.7556248424033,36.87026446305691,0.003600369590236685,1,1,0.009417091525556254,0.009417091525556254,1.01305136612575,1.01305136612575
219.89663696289062,220.67813238943583,214.9145216352812,218.52899015429696,33803978,225.58209686279298,228.12850901285807,224.8850895278482,44.2696070557878,35.217057620332696,0.009417091525556254,0,1,-0.03820528915604626,-0.03820528915604626,0.9743474457529882,0.9743474457529882
211.49542236328125,216.18446935070185,211.10467465852514,214.6214487195385,29175980,223.43295135498047,227.20046895345052,222.82514073329946,39.64534733897366,37.23099794705013,0.03820528915604626,0,1,-0.013394909471216354,-0.013394909471216354,0.961296149923616,0.961296149923616
208.66246032714844,215.9890914495052,208.07632387493223,211.59311277609115,40254773,220.7074447631836,226.19102172851564,220.64626682466087,38.19643297476502,40.943961391575954,0.013394909471216354,0,1,-0.03043070945366122,-0.03043070945366122,0.9320432260863672,0.9320432260863672
202.31271362304688,206.31792969827805,200.45662479261068,205.53641939630856,35360831,217.64979705810546,225.01224772135416,217.8257201782587,35.100024545854765,46.21853456969325,0.03043070945366122,1,1,0.03186865202990985,0.03186865202990985,0.9617461873353483,0.9617461873353483
208.76014709472656,210.2254733704117,203.19191022833704,207.00175258269047,40027784,216.33100280761718,224.3349416097005,216.43101662694608,40.384588196841484,48.64255909799016,0.03186865202990985,1,1,0.02012169160763544,0.02012169160763544,0.9810981475217294,0.9810981475217294
212.96075439453125,213.93763858900158,206.9040753700292,208.76014937709488,45914271,214.36746520996093,223.74881134033203,215.8971301296515,43.60642911308528,49.76781872151099,0.02012169160763544,0,1,-0.06880732235854647,-0.06880732235854647,0.913591411019829,0.913591411019829
198.3074951171875,219.01743743885217,198.3074951171875,214.62145848305244,50988232,211.72010955810546,222.81425882975262,213.19103243542625,36.24727719796041,54.97301965196357,0.06880732235854647,1,0,0.0,0.055172326234891766,0.913591411019829,0.9639963743940101
209.2485809326172,210.42083892571054,198.60054971175464,200.261249777476,51300520,210.65530395507812,222.02298227945963,212.5845014349941,43.86494871349512,54.534619437346635,0.055172326234891766,1,1,0.014005585082819128,0.014005585082819128,0.9263867932577999,0.9774977076351146
